parcela,num,lon,lat,altitud_kml,dist_vecino_m,cuadrante,bbox_west,bbox_east,bbox_south,bbox_north
H26,26,-103.4725797498141,19.6375519816719,0.0,388.7217517382292,NE,-103.4734797498141,-103.4716797498141,19.6366519816719,19.638451981671903
H27,27,-103.4706206808633,19.63252169252172,0.0,311.72659821110886,NE,-103.4715206808633,-103.4697206808633,19.63162169252172,19.633421692521722
H28,28,-103.4667801634766,19.62924958680501,0.0,525.3865565712395,NE,-103.4676801634766,-103.4658801634766,19.628349586805008,19.63014958680501
H29,29,-103.4724550507898,19.62595823238879,0.0,221.73076277749496,NE,-103.4733550507898,-103.4715550507898,19.62505823238879,19.62685823238879
H30,30,-103.4673631977053,19.62454684136882,0.0,494.6199213622716,NE,-103.4682631977053,-103.4664631977053,19.623646841368817,19.62544684136882
H31,31,-103.4720322735746,19.62400044564311,0.0,221.73076277749496,NE,-103.4729322735746,-103.4711322735746,19.623100445643107,19.62490044564311
H32,32,-103.4767867508887,19.61959998384637,0.0,338.79422812437014,SE,-103.47768675088871,-103.4758867508887,19.61869998384637,19.620499983846372
H33,33,-103.4745293846265,19.61742108024948,0.0,297.99087764415276,SE,-103.47542938462651,-103.4736293846265,19.616521080249477,19.61832108024948
H34,34,-103.4717205538295,19.61706263447486,0.0,297.99087764415276,SE,-103.4726205538295,-103.4708205538295,19.616162634474858,19.61796263447486
H35,35,-103.4790615464518,19.62235761063883,0.0,388.3637927187204,NE,-103.4799615464518,-103.4781615464518,19.621457610638828,19.62325761063883
H36,36,-103.475737660252,19.61265718886245,0.0,268.02657638555837,SE,-103.476637660252,-103.47483766025199,19.61175718886245,19.61355718886245
H37,37,-103.4782759946473,19.61287910833094,0.0,268.02657638555837,SE,-103.4791759946473,-103.4773759946473,19.61197910833094,19.61377910833094
H38,38,-103.4814391298695,19.61351141813728,0.0,339.90760498696557,SE,-103.4823391298695,-103.4805391298695,19.612611418137277,19.61441141813728
H39,39,-103.4846383837301,19.61739633960506,0.0,407.6915057485933,SE,-103.4855383837301,-103.4837383837301,19.61649633960506,19.618296339605063
H40,40,-103.4865932661396,19.61422321757896,0.0,402.7447280733692,SE,-103.4874932661396,-103.48569326613959,19.61332321757896,19.61512321757896
H41,41,-103.4875908955098,19.60964441322967,0.0,174.0373706413644,SE,-103.4884908955098,-103.4866908955098,19.60874441322967,19.610544413229672
H42,42,-103.4889001524713,19.6171207933109,0.0,373.5369274264601,SE,-103.4898001524713,-103.4880001524713,19.616220793310898,19.6180207933109
H43,43,-103.4926481384631,19.61451845491155,0.0,256.6644844311322,SE,-103.4935481384631,-103.4917481384631,19.61361845491155,19.615418454911552
H44,44,-103.4912288771512,19.61263647892398,0.0,256.6644844311322,SE,-103.4921288771512,-103.4903288771512,19.61173647892398,19.613536478923983
H45,45,-103.489216124793,19.60934749359883,0.0,106.73967436742092,SE,-103.490116124793,-103.488316124793,19.608447493598828,19.61024749359883
H46,46,-103.4902280275767,19.60942413443004,0.0,106.73967436742092,SE,-103.4911280275767,-103.4893280275767,19.608524134430038,19.61032413443004
H47,47,-103.4924523306077,19.60921557442716,0.0,235.02547382184613,SE,-103.4933523306077,-103.4915523306077,19.60831557442716,19.610115574427162
H48,48,-103.4951061797037,19.60806269214817,0.0,306.9760163348829,SO,-103.4960061797037,-103.4942061797037,19.60716269214817,19.60896269214817
H49,49,-103.4988105532358,19.61498262970927,0.0,497.0975083001427,SO,-103.4997105532358,-103.4979105532358,19.61408262970927,19.615882629709272
H50,50,-103.5061892246769,19.61011338081553,0.0,370.32912631461704,SO,-103.5070892246769,-103.5052892246769,19.60921338081553,19.611013380815532
H51,51,-103.5087860622131,19.61961236528353,0.0,312.90794593093244,SO,-103.5096860622131,-103.5078860622131,19.61871236528353,19.62051236528353
H52,52,-103.506858857131,19.62373074157903,0.0,219.95549115705126,NO,-103.507758857131,-103.50595885713099,19.62283074157903,19.624630741579033
H53,53,-103.5039156451538,19.6220524419853,0.0,290.12350530968655,NO,-103.5048156451538,-103.5030156451538,19.6211524419853,19.6229524419853
H54,54,-103.5012333605017,19.621438862174,0.0,186.34467479904043,NO,-103.5021333605017,-103.5003333605017,19.620538862173998,19.622338862174
H55,55,-103.4994749950378,19.62164911694436,0.0,186.34467479904043,NO,-103.5003749950378,-103.4985749950378,19.62074911694436,19.622549116944363
H56,56,-103.4972616233209,19.61921532953394,0.0,235.40344089859443,SO,-103.4981616233209,-103.4963616233209,19.61831532953394,19.62011532953394
H57,57,-103.4950371159645,19.61897530908676,0.0,235.40344089859443,SO,-103.4959371159645,-103.49413711596449,19.61807530908676,19.619875309086762
H58,58,-103.4904304573702,19.62015890829346,0.0,343.172875732104,SE,-103.4913304573702,-103.4895304573702,19.61925890829346,19.621058908293463
H59,59,-103.4865543693567,19.62171827008233,0.0,371.5768636825562,NE,-103.4874543693567,-103.4856543693567,19.620818270082328,19.62261827008233
H60,60,-103.4983277084877,19.62410311838264,0.0,291.44942376641757,NO,-103.4992277084877,-103.49742770848769,19.623203118382637,19.62500311838264
H61,61,-103.4966882892999,19.62663965521857,0.0,330.0414339830469,NO,-103.4975882892999,-103.4957882892999,19.625739655218567,19.62753965521857
H62,62,-103.4923995903546,19.62574866158377,0.0,399.7040159941525,NE,-103.4932995903546,-103.4914995903546,19.62484866158377,19.626648661583772
H63,63,-103.4905956816595,19.62967479841514,0.0,475.1357813156737,NE,-103.4914956816595,-103.4896956816595,19.62877479841514,19.630574798415143
H64,64,-103.4897338139707,19.62318042476388,0.0,343.172875732104,NE,-103.4906338139707,-103.4888338139707,19.62228042476388,19.624080424763882
